#--------------------------------------------------------
#     W50                       R_LUM       R_LUM14
#      (ms)                      (mJy kpc^2) (mJy kpc^2)
#--------------------------------------------------------
489   94.3        0  jk18       112.66      22.53
490   58          1  mbc+20     12.94       1.34

491   12          0  lfl+06     *           15.33
492   49          0  kbm+03     *           26.03
493   11.7        0  jk18       *           23.43
494   21          0  mlc+01     *           12.36
495   57          0  mlc+01     *           24.24

496   23.8        0  jk18       *           22.97
497   17.0        0  jk18       *           346.79
498   1.1         0  jk18       *           2.14
499   12          0  mlc+01     *           12.29
500   10.2        0  jk18       *           34.93

501   13.4        0  jk18       *           59.16
502   23          0  mlc+01     *           164.42
503   3.1         0  jk18       *           11.07
504   6.9         0  jk18       *           54.37
505   13.9        0  jk18       *           0.20

506   13          0  mlc+01     *           18.09
507   20.4        0  jk18       399.71      16.65
508   64          0  kbm+03     *           6.79
509   25          0  tml93      174.16      *
510   1.3         0  hfs+04     *           0.23

511   8.5         0  jk18       *           37.75
512   22          0  hfs+04     *           14.63
513   9.0         0  jk18       *           58.27
514   68          0  kbm+03     *           8.87
515   7.1         0  kbm+03     *           0.27

516   9.6         0  kbm+03     *           5.25
517   11          0  mlc+01     *           8.92
518   13.7        0  jk18       *           6.24
519   12.2        0  jk18       125.95      23.39
520   14          0  mlc+01     *           6.50

521   10.0        0  ccb+20     *           1.40
522   3.9         0  jk18       229.96      28.83
523   0.176       0  bbb+13     *           4.43
524   63.3        0  jk18       *           8.36
525   35          0  kel+09     *           8.90

526   42.9        0  ccb+20     *           1.75
527   5.5         0  kbm+03     *           6.73
528   19          0  mlc+01     *           3.24
529   1.9         0  slr+14     1.23        *
530   16.2        0  jk18       *           1.81

531   1.1         0  mlc+01     *           1.98
532   7           0  cng+09     *           5.47
533   17          0  hfs+04     *           4.34
534   1.7         0  lfl+06     *           0.18
535   9.7         0  hfs+04     249.37      9.26

536   18          0  kbm+03     *           2.26
537   40.1        0  jk18       *           5.32
538   47          0  mlc+01     *           6.21
539   0.10        0  nbb+14     *           1.13
540   15          0  kbm+03     *           4.87

541   7.5         0  jk18       *           6.69
542   1.5         0  jk18       *           71.51
543   0.4         0  lmcs07     3.54        *
544   3.1         0  jk18       1803.20     141.12
545   2.9         0  mlc+01     *           2.14

546   0.8         0  lor94      9.18        1.22
547   12.4        0  jk18       64.72       11.83
548   14          0  tml93      3.95        *
549   62          0  kbm+03     *           3.35
550   8.4         0  kbm+03     *           10.54

551   25          0  kbm+03     *           5.12
552   7.2         0  hfs+04     *           6.12
553   22          0  kbm+03     *           25.16
554   29          0  kbm+03     *           15.08
555   2.97        0  nbb+14     *           41.23

556   26          0  clm+05     0.08        *
557   11          0  kbm+03     *           2.92
558   49.0        0  ccb+20     *           13.98
559   14          0  tml93      9.58        *
560   3.9         0  jk18       31.09       1.75

561   8.70        0  ccb+20     *           6.95
562   2.8         0  jk18       298.52      13.78
563   10.9        0  lylg95     502.74      35.28
564   5.5         0  jk18       *           2.39
565   13          0  kbm+03     *           20.91

566   50          0  tml93      238.57      *
567   5.9         0  kbm+03     *           4.43
568   16          0  kbm+03     *           13.24
569   110         0  kbm+03     *           9.94
570   4.9         0  jk18       *           364.39

571   21          0  mlc+01     *           26.71
572   14.5        0  jk18       29.04       27.68
573   35.3        0  ccb+20     *           12.57
574   8.0         0  jk18       13.13       2.01
575   5.16        0  ccb+20     *           0.11

576   3.8         0  jk18       *           4.45
577   7.0         0  jk18       *           9.21
578   10.8        0  jk18       *           10.00
579   15.5        0  jk18       *           17.67
580   0.37        0  hrs+07     *           8.67

581   1.6         0  hrs+07     36.12       1.81
582   0.15        0  hrs+07     *           2.50
583   0.54        0  hrs+07     *           0.51
584   0.25        0  hrs+07     *           0.64
585   9           0  mss+20     *           111.79

586   1.42        0  kxl+98     7.43        3.72
587   4           0  kel+09     *           1.14
588   40          0  lfl+06     *           21.12
589   25          0  lfl+06     *           4.84
590   22          0  hfs+04     *           48.94

591   10          0  kbm+03     *           1.00
592   13.2        0  jk18       *           90.42
593   8.0         0  jk18       *           14.61
594   14.3        0  jk18       *           24.87
595   13          0  kel+09     *           5.12

596   15          0  kbm+03     *           4.29
597   31.0        0  ncb+15     *           2.06
598   0.54        0  nbb+14     *           3.25
599   25          0  kbm+03     *           6.55
600   13          0  kbm+03     *           2.53

601   44          0  tml93      32.09       *
602   17          0  hfs+04     481.14      23.77
603   0.4         0  jk18       *           0.24
604   7.2         0  jk18       *           17.84
605   52.9        0  ncb+15     *           1.40

606   1.23        0  nbb+14     *           2.95
607   56          0  kbm+03     *           14.41
608   42          0  kbm+03     *           1.54
609   7.9         0  jk18       *           1.16
610   11          5  bsb+19     *           48.48

611   6.9         0  jk18       *           36.31
612   4.9         0  jk18       *           7.02
613   25.7        0  lylg95     37.35       2.30
614   26          0  kbm+03     *           3.66
615   27.0        0  ncb+15     *           1.97

616   11.9        0  jk18       *           65.05
617   12.2        0  jk18       45.93       4.46
618   4.3         0  jk18       *           19.67
619   14.8        0  jk18       *           22.25
620   9.4         0  kbm+03     *           2.65

621   5.8         0  kbm+03     *           3.09
622   79.9        0  jk18       *           375.55
623   33.5        0  jk18       *           19.67
624   13          0  kel+09     *           14.56
625   0.31        0  kxl+98     39.77       0.66

626   22          0  ebvb01     *           1.31
627   23          0  kbm+03     *           0.53
628   1.84        0  ccb+20     *           4.27
629   67          0  mlc+01     *           71.66
630   11          0  mlc+01     *           2.43

631   86          0  kel+09     *           14.82
632   7.4         0  jk18       *           11.82
633   34.1        0  ncb+15     *           1.54
634   46          0  kbm+03     *           13.89
635   5           0  lfl+06     *           4.11

636   4.7         0  kbm+03     *           0.38
637   19.8        0  jk18       *           2.40
638   23          0  kbm+03     *           3.38
639   7.6         0  jk18       *           62.52
640   14          0  mlc+01     *           9.67

641   4.9         0  jk18       *           7.99
642   5.3         0  jk18       156.74      2.24
643   35          0  hfs+04     *           4.45
644   54          0  kbm+03     *           10.09
645   6.3         0  jk18       416.23      20.81

646   46.2        0  lylg95     2715.18     205.38
647   15          0  kbm+03     *           5.74
648   0.27        0  nbb+14     *           0.72
649   10.7        0  jk18       *           17.60
650   4.0         0  jk18       19.98       4.34

651   0.128       0  bbb+13     *           4.39
652   8.8         0  kbm+03     *           9.10
653   0.67        0  mlb+12     *           3.02
654   0.149       0  ccb+20     *           2.47
655   39          0  hfs+04     *           2.76

656   13          0  kbm+03     *           13.25
657   12          0  kbm+03     *           6.03
658   12          0  kbm+03     *           8.54
659   4.3         0  jk18       *           45.19
660   7           0  lxf+05     8.28        *

661   5.9         0  jk18       29.08       2.74
662   13          0  kbm+03     *           0.82
663   11          0  kbm+03     *           10.19
664   85          0  kbm+03     *           19.22
665   31.6        0  jk18       *           4.96

666   33.2        0  jk18       *           24.88
667   2.8         1  bsb+19     *           4.75
668   0.9         0  lem+15     *           1.31
669   8.4         0  jk18       186.34      12.90
670   63          0  kbm+03     *           4.50

671   10.8        0  lylg95     106.70      12.64
672   27.3        0  jk18       533.51      106.70
673   29          0  kbm+03     *           13.36
674   3.8         0  jk18       2979.08     201.09
675   28.9        0  ccb+20     *           13.04

676   22          0  mlc+01     *           22.08
677   9.5         0  lfl+06     *           2.10
678   6.5         0  jk18       581.90      196.26
679   9.0         0  hfs+04     256.23      12.30
680   0.094       1  mhb+13     *           9.76

681   4.3         0  jk18       *           999.81
682   9.9         0  jk18       349.95      43.74
683   127         0  lfl+06     *           10.56
684   62          0  mlc+01     *           2.17
685   5.9         0  jk18       *           3.20

686   29          0  kbm+03     *           6.18
687   4.3         0  jk18       2880.00     448.00
688   7           1  dsb+98     174.63      *
689   14.5        0  jk18       106.35      9.04
690   10.8        0  jk18       *           15.13

691   24.4        0  ccb+20     *           2.42
692   2.5         0  jk18       362.34      40.76
693   1.206       3  mhb+13     5.90        0.98
694   11          0  lfl+06     *           0.32
695   3.8         0  jk18       457.63      63.44

696   20          1  dsb+98     25.44       *
697   26          0  mlc+01     *           5.69
698   59.8        0  jk18       25.67       17.97
699   9.8         0  jk18       63.80       2.01
700   20          0  mlc+01     *           6.81

701   3           0  tjb+13     *           2.61
702   13.8        0  jk18       *           0.96
703   5.6         0  hfs+04     *           5.34
704   100         0  mlc+01     *           11.33
705   37.6        0  lylg95     168.69      *

706   42          0  mlc+01     *           51.35
707   44          0  kbm+03     *           21.78
708   33          0  kbm+03     *           1.93
709   18          0  mlc+01     *           30.35
